county_code,sector_desc,week_ending,county_ansi,state_ansi,CV (%),reference_period_desc,Value,state_name,end_code,freq_desc,agg_level_desc,short_desc,asd_code,class_desc,domain_desc,congr_district_code,watershed_code,util_practice_desc,state_fips_code,country_name,prodn_practice_desc,watershed_desc,region_desc,domaincat_desc,year,statisticcat_desc,zip_5,asd_desc,source_desc,commodity_desc,unit_desc,begin_code,state_alpha,country_code,location_desc,load_time,group_desc,county_name
007,ECONOMICS,,007,21,28.3,YEAR,24,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, BALLARD",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,BALLARD
035,ECONOMICS,,035,21,28.3,YEAR,27,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, CALLOWAY",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,CALLOWAY
039,ECONOMICS,,039,21,28.3,YEAR,19,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, CARLISLE",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,CARLISLE
075,ECONOMICS,,075,21,28.3,YEAR,29,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, FULTON",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,FULTON
083,ECONOMICS,,083,21,28.3,YEAR,70,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, GRAVES",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,GRAVES
105,ECONOMICS,,105,21,28.3,YEAR,25,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, HICKMAN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,HICKMAN
139,ECONOMICS,,139,21,28.3,YEAR,20,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, LIVINGSTON",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,LIVINGSTON
143,ECONOMICS,,143,21,28.3,YEAR,5,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, LYON",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,LYON
145,ECONOMICS,,145,21,28.3,YEAR,20,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, MCCRACKEN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,MCCRACKEN
157,ECONOMICS,,157,21,28.3,YEAR,16,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, MARSHALL",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,MARSHALL
